event_name,event_type,event_description,event_photo_link,registration_link,registration_status,event_date,event_date_m
AI & entrepreneurship Workshop,WORKSHOP,"​The AI & Entrepreneurship Workshop is designed to introduce participants to the practical role of artificial intelligence in modern business and startup ecosystems. The session focuses on how AI-driven tools and strategies can be applied to idea validation, market analysis, automation, and decision-making across real-world business scenarios.","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=1,background=white,quality=75,width=300,height=300/event-covers/bf/0fb6b71d-7008-4f5d-9cd1-3386512fda80.png",https://luma.com/h5yn9c1o,TRUE,,21 Feb
Deep Learning Workshop,WORKSHOP,"​The Deep Learning Workshop is designed to introduce participants to the fundamentals of deep learning and its applications in solving complex real-world problems. The session focuses on core concepts such as neural networks, model training, and practical use cases in areas like image recognition, natural language processing, and predictive analytics.","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=280,height=280/event-covers/7c/cb43d8ac-2e45-44b9-b7a1-239f9849150a.png",https://luma.com/rh7cy49h,TRUE,,20 Feb
IoT Workshop,WORKSHOP,​Outcome of the Workshop • Practical understanding of Arduino hardware • Hands-on experience in circuit building • Sensor interfacing knowledge • Basic IoT system implementation • Confidence in real hardware development,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=280,height=280/event-covers/dr/62369121-1b38-4b08-90a2-f4e53cbbafd7.png",https://luma.com/08xlwh96,TRUE,,20 Feb
Cloud Computing And AI Workshop,WORKSHOP,"​The Cloud Computing & Al Workshop is designed to introduce participants to the fundamentals of cloud-based development and the role of artificial intelligence in modern application building. The session focuses on how cloud platforms enable scalable computing, rapid deployment, and Al-powered workflows without the need for high-end local systems.","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=280,height=280/event-covers/5l/5035dbf1-c815-45e5-98de-ad1adec128d2.png",https://luma.com/pf7sctok,TRUE,,20 Feb
Vibe Coding,WORKSHOP,"​The Vibe Coding Workshop is designed to introduce participants to a creative and intuitive approach to coding, where logic meets creativity. This session focuses on building a strong coding mindset, understanding problem-solving techniques, and writing clean, efficient code while enjoying the learning process. Participants will explore how to code with flow, confidence, and clarity rather than memorization.","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=280,height=280/event-covers/0y/71bba974-7dc0-44ca-9807-7443db4a6b94.png",https://luma.com/ye5mrcxa,TRUE,,20 Feb
Cyber Security Workshop,WORKSHOP,"​The Cyber Security Workshop is designed to introduce participants to the fundamentals of cyber security and its critical role in protecting digital systems, networks, and data from cyber threats. The session focuses on core concepts such as cyber threats and attacks, ethical hacking basics, network security, encryption, and secure system practices. Participants will gain insight into real-world security challenges and common vulnerabilities faced by organizations today.","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=280,height=280/event-covers/96/8290976e-797e-4b46-ad9a-54f284278c56.png",https://luma.com/j74vmbjz,TRUE,,20 Feb
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
,,,,,FALSE,,
